"Hugo_Symbol","Frame_Shift_Del","Frame_Shift_Ins","In_Frame_Del","In_Frame_Ins","Missense_Mutation","Nonsense_Mutation","Nonstop_Mutation","Splice_Site","Translation_Start_Site","total","MutatedSamples","AlteredSamples"
"TP53",4,0,1,0,23,5,0,4,0,37,37,37
"PIK3CA",0,0,2,0,33,0,0,0,0,35,29,29
"TTN",5,0,0,0,28,1,0,0,0,34,17,17
"GATA3",3,8,0,0,3,0,0,1,0,15,14,14
"CDH1",3,4,2,0,1,3,0,0,0,13,13,13
"MUC16",10,0,0,0,14,0,0,0,0,24,12,12
"MAP3K1",4,3,0,0,3,3,0,1,0,14,10,10
"ZFHX4",3,0,0,0,8,0,0,0,0,11,10,10
"PTEN",2,1,0,0,5,1,0,0,0,9,8,8
"SRCAP",2,1,0,0,5,0,0,0,0,8,8,8
"USH2A",1,0,0,0,7,0,0,0,0,8,8,8
"SYNE1",2,0,0,0,7,0,0,1,0,10,7,7
"RYR2",1,0,0,0,7,1,0,0,0,9,7,7
"FAT3",0,0,1,0,7,0,0,0,0,8,7,7
"RNF213",1,0,0,0,6,0,0,0,0,7,7,7
"PRUNE2",2,0,0,0,6,1,0,0,0,9,6,6
"CACNA1B",3,0,0,0,5,0,0,0,0,8,6,6
"SPTA1",3,0,0,0,5,0,0,0,0,8,6,6
"DYNC1H1",2,0,0,0,5,0,0,0,0,7,6,6
"LRP1B",1,0,0,0,6,0,0,0,0,7,6,6
"MYH9",2,0,0,0,5,0,0,0,0,7,6,6
"RUNX1",3,0,0,0,3,1,0,0,0,7,6,6
"CASP8",0,0,0,0,4,2,0,0,0,6,6,6
"CKAP5",1,0,0,0,5,0,0,0,0,6,6,6
"DMD",1,0,0,0,5,0,0,0,0,6,6,6
"DNAH2",1,0,0,0,5,0,0,0,0,6,6,6
"FLG",0,0,0,0,6,0,0,0,0,6,6,6
"KAT6B",1,0,0,0,5,0,0,0,0,6,6,6
"NID1",1,0,0,0,5,0,0,0,0,6,6,6
"PAPPA2",0,0,0,0,4,0,0,2,0,6,6,6
"SZT2",2,0,0,0,2,2,0,0,0,6,6,6
"NEB",6,0,0,0,4,0,0,0,0,10,5,5
"F8",4,0,0,0,3,1,0,0,0,8,5,5
"AFF2",3,0,0,0,3,1,0,0,0,7,5,5
"CACNA1C",3,0,0,0,4,0,0,0,0,7,5,5
"SCAPER",3,0,0,0,4,0,0,0,0,7,5,5
"CACNA1A",0,0,0,0,6,0,0,0,0,6,5,5
"CSMD1",1,0,0,0,4,1,0,0,0,6,5,5
"ESF1",1,0,0,0,5,0,0,0,0,6,5,5
"MTOR",2,0,0,0,4,0,0,0,0,6,5,5
"SYNE2",1,0,0,0,5,0,0,0,0,6,5,5
"TPR",1,0,0,0,5,0,0,0,0,6,5,5
"WDFY3",3,1,0,0,2,0,0,0,0,6,5,5
"ADAMTSL1",1,0,0,0,4,0,0,0,0,5,5,5
"BRINP3",1,0,0,0,4,0,0,0,0,5,5,5
"BSN",0,0,0,0,4,1,0,0,0,5,5,5
"CHD5",1,0,0,0,4,0,0,0,0,5,5,5
"CNTN1",1,0,0,0,4,0,0,0,0,5,5,5
"DNAH14",0,0,0,0,4,1,0,0,0,5,5,5
"DNAH8",1,0,0,0,3,1,0,0,0,5,5,5
"ELTD1",1,0,0,0,2,1,0,0,1,5,5,5
"ESCO1",2,0,0,0,2,1,0,0,0,5,5,5
"FBN1",0,0,0,0,5,0,0,0,0,5,5,5
"HMCN1",1,0,0,0,4,0,0,0,0,5,5,5
"HSPA12A",0,0,0,0,4,0,0,1,0,5,5,5
"HUWE1",1,0,0,0,4,0,0,0,0,5,5,5
"KMT2C",2,0,0,0,2,1,0,0,0,5,5,5
"LAMA2",0,0,0,0,5,0,0,0,0,5,5,5
"OBSCN",2,0,0,0,3,0,0,0,0,5,5,5
"STAG2",1,0,0,0,4,0,0,0,0,5,5,5
"TENM1",0,0,0,0,5,0,0,0,0,5,5,5
"TEP1",1,0,0,0,2,2,0,0,0,5,5,5
"WNK3",1,0,0,0,4,0,0,0,0,5,5,5
"MUC5B",6,0,0,0,3,0,0,0,0,9,4,4
"DST",2,1,0,0,4,0,0,0,0,7,4,4
"AKAP11",0,0,0,0,5,0,0,1,0,6,4,4
"C1orf173",3,1,0,0,2,0,0,0,0,6,4,4
"GPR98",3,0,0,0,3,0,0,0,0,6,4,4
"KMT2D",3,0,0,0,3,0,0,0,0,6,4,4
"ABCC8",2,0,0,0,3,0,0,0,0,5,4,4
"ANK2",2,0,0,0,3,0,0,0,0,5,4,4
"ATP2B3",1,0,0,0,4,0,0,0,0,5,4,4
"CNTNAP4",2,0,0,0,3,0,0,0,0,5,4,4
"CSMD3",2,0,0,0,2,0,0,1,0,5,4,4
"DIDO1",0,0,0,0,4,0,0,1,0,5,4,4
"DNAH5",2,0,0,0,3,0,0,0,0,5,4,4
"EYS",2,0,0,0,3,0,0,0,0,5,4,4
"F5",2,0,0,0,3,0,0,0,0,5,4,4
"FAT2",2,0,0,0,3,0,0,0,0,5,4,4
"FCGBP",2,0,0,0,3,0,0,0,0,5,4,4
