"","TCGA-A1-A0SH-01A-11D-A099-09","TCGA-A2-A0CU-01A-12W-A050-09","TCGA-A2-A0EQ-01A-11W-A050-09","TCGA-A2-A0ES-01A-11D-A10Y-09","TCGA-A2-A0T3-01A-21D-A10Y-09","TCGA-A2-A0YI-01A-31D-A10M-09","TCGA-A2-A0YJ-01A-11D-A10G-09","TCGA-A2-A3XT-01A-11D-A22X-09","TCGA-A2-A3XU-01A-12D-A22X-09","TCGA-A7-A26I-01A-11D-A167-09","TCGA-A8-A079-01A-21W-A019-09","TCGA-A8-A081-01A-11W-A019-09","TCGA-A8-A086-01A-11W-A019-09","TCGA-A8-A091-01A-11W-A019-09","TCGA-A8-A094-01A-11W-A019-09","TCGA-A8-A09C-01A-11W-A019-09","TCGA-A8-A09D-01A-11W-A019-09","TCGA-A8-A09G-01A-21W-A019-09","TCGA-AC-A2B8-01A-11D-A17D-09","TCGA-AC-A2FG-01A-11D-A17D-09","TCGA-AC-A5EH-01A-11D-A28B-09","TCGA-AC-A5XS-01A-11D-A29N-09","TCGA-AC-A6IW-01A-12D-A33E-09","TCGA-AN-A0AL-01A-11W-A019-09","TCGA-AN-A0FD-01A-11W-A050-09","TCGA-AN-A0FL-01A-11W-A050-09","TCGA-AN-A0XO-01A-11D-A10G-09","TCGA-AO-A03M-01B-11D-A10M-09","TCGA-AR-A0U2-01A-11D-A10G-09","TCGA-AR-A24Q-01A-12D-A167-09","TCGA-AR-A2LR-01A-12D-A18P-09","TCGA-B6-A0IE-01A-11W-A050-09","TCGA-B6-A0IH-01A-11D-A10Y-09","TCGA-B6-A0IM-01A-11W-A050-09","TCGA-B6-A0RH-01A-21D-A10Y-09","TCGA-B6-A0RM-01A-11D-A099-09","TCGA-B6-A40C-01A-11D-A23C-09","TCGA-BH-A0AW-01A-11W-A071-09","TCGA-BH-A0AY-01A-21W-A019-09","TCGA-BH-A0B5-01A-11D-A12Q-09","TCGA-BH-A0B9-01A-11W-A071-09","TCGA-BH-A0C1-01B-11D-A12B-09","TCGA-BH-A0DP-01A-21W-A071-09","TCGA-BH-A0WA-01A-11D-A10G-09","TCGA-BH-A18F-01A-11D-A12B-09","TCGA-BH-A18H-01A-11D-A12B-09","TCGA-BH-A18K-01A-11D-A12B-09","TCGA-BH-A18M-01A-11D-A12B-09","TCGA-BH-A1ET-01A-11D-A135-09","TCGA-BH-A1F2-01A-31D-A13L-09","TCGA-BH-A1FE-06A-11D-A20S-09","TCGA-BH-A1FM-01A-11D-A13L-09","TCGA-C8-A12K-01A-21D-A10Y-09","TCGA-C8-A12V-01A-11D-A10Y-09","TCGA-C8-A132-01A-31D-A10Y-09","TCGA-C8-A1HJ-01A-11D-A13L-09","TCGA-C8-A1HN-01A-11D-A135-09","TCGA-C8-A26W-01A-11D-A16D-09","TCGA-C8-A8HR-01A-11D-A36J-09","TCGA-D8-A13Z-01A-11D-A10Y-09","TCGA-D8-A145-01A-11D-A10Y-09","TCGA-D8-A1JB-01A-11D-A13L-09","TCGA-D8-A1JH-01A-11D-A188-09","TCGA-D8-A1XR-01A-11D-A14K-09","TCGA-D8-A1XT-01A-11D-A14K-09","TCGA-D8-A1XV-01A-11D-A14K-09","TCGA-D8-A1XZ-01A-11D-A14K-09","TCGA-D8-A1Y0-01A-11D-A14K-09","TCGA-D8-A1Y2-01A-11D-A159-09","TCGA-D8-A27V-01A-12D-A17D-09","TCGA-E2-A107-01A-11D-A10M-09","TCGA-E2-A10B-01A-11D-A10M-09","TCGA-E2-A14T-01A-11D-A10Y-09","TCGA-E2-A154-01A-11D-A10Y-09","TCGA-E2-A156-01A-11D-A12B-09","TCGA-E2-A15F-01A-11D-A10Y-09","TCGA-E2-A15J-01A-11D-A12Q-09","TCGA-E2-A15O-01A-11D-A10Y-09","TCGA-E2-A1B5-01A-21D-A12Q-09","TCGA-E2-A1II-01A-11D-A142-09","TCGA-E2-A1IN-01A-11D-A13L-09","TCGA-E2-A1LB-01A-11D-A142-09","TCGA-E9-A1QZ-01A-21D-A167-09","TCGA-E9-A1RD-01A-11D-A159-09","TCGA-E9-A1RH-01A-21D-A167-09","TCGA-E9-A228-01A-31D-A159-09","TCGA-E9-A22H-01A-11D-A159-09","TCGA-E9-A5FK-01A-11D-A27P-09","TCGA-EW-A1P3-01A-11D-A142-09","TCGA-GM-A2DH-01A-11D-A17W-09","TCGA-GM-A4E0-01A-12D-A25Q-09","TCGA-GM-A5PX-01A-12D-A28B-09","TCGA-LD-A7W5-01A-22D-A351-09","TCGA-LL-A7SZ-01A-32D-A351-09","TCGA-LL-A9Q3-01A-11D-A41F-09","TCGA-OL-A66O-01A-11D-A31U-09","TCGA-OL-A66P-01A-11D-A31U-09","TCGA-PL-A8LZ-01A-31D-A36J-09","TCGA-S3-AA17-01A-11D-A41F-09","TCGA-Z7-A8R6-01A-11D-A41F-09"
"COSMIC_1",0,22.475816,33.065386,10.365626,9.04933,2.435928,36.603439,18.400069,13.231619,11.229059,52.889248,51.007359,4.998294,20.150995,26.162107,17.69375,6.446137,24.215933,23.109745,21.666919,17.880888,28.500182,32.204983,3.671592,14.69672,47.700075,10.650691,33.551264,23.66301,4.622551,22.657854,18.490822,14.288336,27.323141,22.515458,20.384734,44.842272,31.365252,31.246172,10.771765,12.912297,14.064825,9.01447,8.742737,31.881435,0,9.193233,16.744109,11.966377,32.037857,0.651494,32.209698,20.089848,7.880513,23.543284,10.165796,40.939169,15.482168,14.531768,28.535628,14.838171,11.795081,6.203722,1.358932,10.136196,30.235078,70.525966,13.500214,12.822067,23.021587,20.627141,11.895217,21.042019,36.336619,12.309589,14.419459,8.271301,25.144716,17.841617,8.829086,26.147196,11.715596,12.156155,2.146655,28.3106,19.883945,21.587931,15.096402,13.51454,25.12964,20.298061,7.72639,27.837705,17.007862,10.840899,28.192086,19.448595,8.955956,34.423003,19.996808
"COSMIC_2",37.420603,1.210341,54.824607,0,0,0,0,0,0.504206,3.222359,0,18.838993,0,5.139248,63.120477,0,11.164389,127.164108,52.563937,7.695953,11.570221,240.481067,14.376533,0,0.459254,0,5.938369,404.887018,0,16.59817,0,3.089491,0,0.14403,10.933079,5.189979,3.338072,49.361874,7.691944,24.132958,0,7.852543,6.690316,12.185446,19.284477,4.381171,7.640429,1.359335,0,8.654007,0,9.780055,8.206406,0.03788,5.008623,0,1.498381,11.528539,0,0.178011,0,1.285125,1.078621,2.758314,1.45376,0,0,0,8.376921,54.731536,5.776579,18.265713,2.799683,0,4.25244,0,0,1.319488,13.887528,0,87.612582,12.164822,0,5.437223,2.773387,7.091607,1.230797,0.780963,1.363771,23.7738,0,4.335426,7.241169,4.750855,8.699925,0,0,11.535272,3.826248,37.289248
"COSMIC_3",13.786889,7.836635,23.481343,1.011274,0,0,34.410892,41.180481,0,11.393259,7.342994,14.719111,0,0,22.437664,0,0,0,10.976085,5.047761,98.31569,14.351597,43.994016,35.927209,17.376096,56.759095,1.260307,0,0,116.742923,2.636802,0,0,12.241964,4.365085,0,0,24.508857,0,0,3.191223,0,0,63.938177,0,0,0,0,3.585422,0,0,0,70.249366,0,0,74.131194,2.038936,0,14.447082,30.668736,2.780361,19.954626,0,0,3.354371,0,0,13.762776,0,0,0,0.739795,0,0,0,4.335194,0,0,0,7.255291,19.983276,0,0,2.892001,27.009666,0,0,8.603946,0,49.950649,0,0,0,0,0,0,24.504099,8.640753,46.044778,0
"COSMIC_4",0,0,0,0,0,2.865272,0,1.753005,1.487029,4.212471,0,0,1.932491,0,0,0,2.965724,0,0,0,11.787181,0,15.116661,0,0,6.215008,0,0,0,0.797575,0,0,0,0,0,0,5.118465,0,6.219925,0,6.224635,0,0,0,0,0,0,0,0,0,0,0,1.380823,0,0,0,6.75523,0,0,15.645893,0,3.276077,0,0,4.986366,1.514328,0,0,0,0,0,2.19667,0,5.839732,6.180187,0,0,0,0,0,0,9.619725,0,0,11.098244,0,0,0,0,0,4.962294,0,0,39.879493,0,0,7.480222,44.662646,0,0
"COSMIC_5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COSMIC_6",12.934716,0,16.845074,0,13.220679,0,14.532494,0,7.122946,0,0,11.196407,1.611876,0,0,0,0.947026,0,0,0,20.31449,0,26.706943,0,0,0,0,0,0.730625,24.464081,0,1.358356,0,0,0,1.188064,0,27.905633,0,7.868235,0,10.755619,0,4.374123,0,11.814162,5.462237,0,5.589692,8.581439,0.348506,0,0,0,0,12.167138,0,0,8.154855,14.390784,18.347994,0,0,20.452524,13.813262,0,9.851689,0,1.513869,0,0,7.764701,0,0,0,3.769165,0,0,0,5.771685,12.946058,0,0,10.709435,13.485304,16.727541,0.275653,4.37382,0,0,0.659791,9.046955,10.538015,8.536136,28.689338,0,2.227282,14.693185,0,10.123593
"COSMIC_7",21.332013,3.991065,11.312221,2.198667,1.055555,3.900801,0,0,0,6.559436,0,0,0.084701,0,9.503531,0,0,4.907674,0,0,0,112.365793,27.133239,0,0,1.543173,7.954172,55.770064,0.739863,4.408208,3.41639,0,6.281674,0.605793,0,1.865902,0.237877,17.057482,0,5.699389,4.103658,0,0,3.25551,1.250433,7.928368,16.494285,0.256766,0,2.24651,0,2.565186,0.948819,0,0,0,4.075829,13.370964,6.14216,0,0,5.996751,0,0,6.177469,0.168534,0,7.142633,0,43.692737,3.840727,0.945014,0,0,0,4.088188,0.85722,0,2.446325,0,0,0,0,1.046339,8.08823,1.58307,1.393757,0.553336,3.431045,1.372201,0,0.250631,1.036773,0,3.122633,0,3.187204,17.148077,0,7.512609
"COSMIC_8",0,0,0,0,0,2.964947,0,0,0,0,2.379268,1.734366,0,0,0,0.025907,4.231962,0,0,0,0,0,0,0,0,0,0,0,9.715069,0,7.908615,0,0,0,0,0,0,0,9.165297,0,0,0,0,8.216525,0,0,0,0,0,1.333405,0,0,0,4.164353,0,0,0,0,0,0,0,0,0,0,0,0,0,7.706784,0,0,0,0,0,0,0,0,4.490979,0,0,0,0,0,0,0,0,0,0,0,0,0,0.500806,0,0,0,11.90325,0,0,0,0,0
"COSMIC_9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.809387,0,0,0,0,0,0,11.207434,0,0,7.734766,0,0,0,0,0,0.455075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111349,0,0,0,0,0,0,0,0,0,0,0,0,1.39938,0,0,0,0,4.945825,0,0,0,10.116674,0,0,0
"COSMIC_10",1.928053,0,1.045322,0,1.060563,0,1.180562,0,0.212764,0.278901,0,6.373946,0,0,9.759245,0,0,3.584276,2.074354,0,5.560749,48.259137,0,1.995622,0,0,3.458982,25.202575,0,2.40534,0,0,0,0,0,0,0,7.149912,8.770899,3.130754,1.7648,0,0.928989,0,6.984189,0,0.777426,0,4.652375,0.102452,0,7.248479,0,0,0,0,0,3.905941,0,0,0,0,0,0,0,0,0,2.327809,0,18.691449,3.216252,0.757317,0.293391,3.917039,0.355587,0,0,0,1.191914,0,0,4.715543,0,0,5.042734,0,1.147413,0,0,6.898201,3.364505,0.019011,2.748911,6.179973,0,0,4.99192,0,0.271064,6.421464
