"Hugo_Symbol","Frame_Shift_Del","Frame_Shift_Ins","In_Frame_Del","In_Frame_Ins","Missense_Mutation","Nonsense_Mutation","Nonstop_Mutation","Splice_Site","Translation_Start_Site","total","MutatedSamples","AlteredSamples"
"TTN",2,0,0,0,82,6,0,1,0,91,48,48
"TP53",5,0,2,0,33,7,0,4,0,51,47,47
"MUC16",3,1,0,0,62,6,0,0,0,72,40,40
"CSMD3",2,1,0,0,56,5,0,3,0,67,39,39
"LRP1B",0,1,0,0,45,6,0,2,0,54,37,37
"RYR2",2,0,0,0,57,3,0,1,0,63,34,34
"USH2A",1,0,0,0,43,0,0,5,0,49,32,32
"ZFHX4",1,1,0,0,35,4,0,0,0,41,30,30
"ZNF536",0,1,0,0,28,3,0,1,0,33,28,28
"XIRP2",1,0,0,0,30,0,0,0,0,31,26,26
"KRAS",0,0,0,0,27,0,0,0,0,27,26,26
"CSMD1",0,0,0,0,28,5,0,1,0,34,25,25
"FLG",0,0,0,0,37,2,0,0,0,39,24,24
"TNR",0,0,0,0,26,2,0,0,0,28,24,24
"COL11A1",1,0,0,0,26,1,0,2,0,30,23,23
"RYR1",0,0,0,0,24,2,0,0,0,26,22,22
"PCDH15",0,0,0,0,31,1,0,0,0,32,21,21
"FAT3",1,0,0,0,23,2,0,1,0,27,21,21
"SPTA1",0,0,0,0,25,2,0,0,0,27,20,20
"ADAMTS12",1,0,0,0,21,0,0,1,0,23,20,20
"ANK2",0,0,0,0,25,2,0,0,0,27,19,19
"KEAP1",5,1,0,0,12,0,0,1,0,19,19,19
"RYR3",0,0,0,0,22,0,0,2,0,24,18,18
"AHNAK2",2,0,0,0,19,0,0,0,0,21,18,18
"FBN2",0,0,0,0,17,2,0,1,0,20,18,18
"SI",0,0,0,0,16,2,0,1,0,19,18,18
"FAT4",0,0,0,0,17,1,0,0,0,18,18,18
"MUC17",0,0,0,0,21,1,0,2,0,24,17,17
"CNTNAP5",0,0,0,0,21,1,0,0,0,22,17,17
"DNAH9",1,0,0,0,16,3,0,0,0,20,17,17
"OBSCN",0,0,0,0,18,1,0,0,0,19,17,17
"PRDM9",0,0,0,0,16,2,0,1,0,19,17,17
"PXDNL",1,0,0,0,17,0,0,0,0,18,17,17
"ABCA13",1,0,0,0,14,1,0,1,0,17,17,17
"DMD",0,0,0,0,22,5,0,0,0,27,16,16
"HMCN1",0,0,0,0,19,1,0,3,0,23,16,16
"PAPPA2",0,0,0,0,21,2,0,0,0,23,16,16
"DNAH5",1,0,0,0,16,1,0,2,0,20,16,16
"DOCK2",1,1,0,0,17,0,0,0,0,19,16,16
"PCDH10",0,0,0,0,17,2,0,0,0,19,16,16
"ZNF804A",0,0,0,0,15,4,0,0,0,19,16,16
"PTPRD",0,0,0,0,15,1,0,2,0,18,16,16
"PCLO",3,0,0,0,15,1,0,0,0,19,15,15
"TAF1L",1,0,0,0,16,2,0,0,0,19,15,15
"LTBP1",0,0,0,0,17,1,0,0,0,18,15,15
"MYH4",1,0,0,0,12,4,0,0,0,17,15,15
"OVCH1",0,0,0,0,14,0,0,3,0,17,15,15
"NAV3",0,0,0,0,15,1,0,0,0,16,15,15
"TNN",0,0,0,0,14,2,0,0,0,16,15,15
"APOB",0,0,0,0,17,0,0,0,0,17,14,14
"COL22A1",0,0,0,0,12,2,0,3,0,17,14,14
"TSHZ3",0,0,0,0,16,1,0,0,0,17,14,14
"ASTN1",1,0,0,0,14,0,0,0,0,15,14,14
"NPAP1",0,0,0,0,13,1,0,0,0,14,14,14
"RP1L1",0,0,0,0,17,1,0,0,0,18,13,13
"CACNA1E",0,0,0,0,17,0,0,0,0,17,13,13
"MYH2",0,0,0,0,15,2,0,0,0,17,13,13
"NEB",1,0,0,0,15,0,0,1,0,17,13,13
"CDH10",1,1,0,0,12,2,0,0,0,16,13,13
"LRP1",0,0,0,0,14,1,0,0,0,15,13,13
"PTPRZ1",1,0,0,0,13,0,0,1,0,15,13,13
"PCDH11X",1,0,0,0,11,1,0,1,0,14,13,13
"PKHD1",1,0,0,0,11,2,0,0,0,14,13,13
"C1orf173",0,0,0,0,10,2,0,1,0,13,13,13
"CDH9",1,0,0,0,9,2,0,1,0,13,13,13
"DCHS2",1,1,0,0,11,0,0,0,0,13,13,13
"DNAH8",1,0,0,0,11,1,0,0,0,13,13,13
"FLG2",0,0,0,0,12,1,0,0,0,13,13,13
"CSMD2",1,0,0,0,13,1,0,0,0,15,12,12
"KMT2C",0,0,0,0,15,0,0,0,0,15,12,12
"EPHA6",0,0,0,0,12,2,0,0,0,14,12,12
"MXRA5",0,0,0,0,14,0,0,0,0,14,12,12
"NALCN",0,0,0,0,13,1,0,0,0,14,12,12
"SPATA31A6",0,0,0,0,12,1,0,1,0,14,12,12
"TENM1",1,0,0,0,12,0,0,1,0,14,12,12
"ASPM",0,1,0,0,12,0,0,0,0,13,12,12
"CDH7",0,1,0,0,12,0,0,0,0,13,12,12
"HUWE1",0,0,0,0,12,1,0,0,0,13,12,12
"KDR",0,0,0,0,12,0,0,1,0,13,12,12
"KIAA1109",0,0,0,0,11,1,0,1,0,13,12,12
"LRRC7",1,0,0,0,12,0,0,0,0,13,12,12
"PEG3",0,0,0,0,12,1,0,0,0,13,12,12
"VCAN",0,0,0,0,12,1,0,0,0,13,12,12
"ANKRD30A",0,0,0,0,11,1,0,0,0,12,12,12
"BRINP3",0,0,0,0,9,3,0,0,0,12,12,12
