"","TCGA-05-4433-01A-22D-1855-08","TCGA-05-5425-01A-02D-1625-08","TCGA-05-5429-01A-01D-1625-08","TCGA-35-4122-01A-01D-1105-08","TCGA-35-4123-01A-01D-1105-08","TCGA-38-4625-01A-01D-1553-08","TCGA-38-4626-01A-01D-1553-08","TCGA-38-4628-01A-01D-1265-08","TCGA-38-4630-01A-01D-1265-08","TCGA-44-2655-01A-01D-1553-08","TCGA-44-2657-01A-01D-1105-08","TCGA-44-3919-01A-02D-1458-08","TCGA-44-4112-01A-31D-A27T-08","TCGA-44-6146-01A-31D-A27T-08","TCGA-44-6774-01A-21D-1855-08","TCGA-44-7672-01A-11D-2063-08","TCGA-44-8119-01A-11D-2238-08","TCGA-44-A47F-01A-11D-A24D-08","TCGA-44-A4SS-01A-11D-A24P-08","TCGA-49-4501-01A-01D-1265-08","TCGA-49-AAR9-01A-21D-A410-08","TCGA-49-AARN-01A-21D-A410-08","TCGA-50-5049-01A-01D-1625-08","TCGA-50-5066-02A-11D-2107-08","TCGA-50-5931-01A-11D-1753-08","TCGA-50-5946-01A-11D-1753-08","TCGA-50-6673-01A-11D-1945-08","TCGA-55-1595-01A-01D-0969-08","TCGA-55-5899-01A-11D-1625-08","TCGA-55-6970-01A-11D-1945-08","TCGA-55-6971-01A-11D-1945-08","TCGA-55-6972-01A-11D-1945-08","TCGA-55-6978-01A-11D-1945-08","TCGA-55-6986-01A-11D-1945-08","TCGA-55-6987-01A-11D-1945-08","TCGA-55-7227-01A-11D-2036-08","TCGA-55-7284-01B-11D-2238-08","TCGA-55-8087-01A-11D-2238-08","TCGA-55-8092-01A-11D-2238-08","TCGA-55-8097-01A-11D-2238-08","TCGA-55-8204-01A-11D-2238-08","TCGA-55-8614-01A-11D-2393-08","TCGA-55-A493-01A-11D-A24D-08","TCGA-62-8398-01A-11D-2323-08","TCGA-62-8399-01A-21D-2323-08","TCGA-62-A46R-01A-11D-A24D-08","TCGA-62-A46V-01A-11D-A24D-08","TCGA-62-A471-01A-12D-A24D-08","TCGA-64-5779-01A-01D-1625-08","TCGA-69-7760-01A-11D-2167-08","TCGA-69-7763-01A-11D-2167-08","TCGA-69-7980-01A-11D-2184-08","TCGA-69-A59K-01A-11D-A25L-08","TCGA-71-8520-01A-11D-2393-08","TCGA-75-6206-01A-11D-1753-08","TCGA-75-6214-01A-41D-1945-08","TCGA-75-7030-01A-11D-1945-08","TCGA-78-7145-01A-11D-2036-08","TCGA-78-7146-01A-11D-2036-08","TCGA-78-7158-01A-11D-2036-08","TCGA-78-7537-01A-11D-2063-08","TCGA-78-7633-01A-11D-2063-08","TCGA-78-8648-01A-11D-2393-08","TCGA-78-8660-01A-11D-2393-08","TCGA-78-8662-01A-11D-2393-08","TCGA-86-6562-01A-11D-1753-08","TCGA-86-7954-01A-11D-2184-08","TCGA-86-8278-01A-11D-2284-08","TCGA-86-8279-01A-11D-2284-08","TCGA-86-8281-01A-11D-2284-08","TCGA-86-8359-01A-11D-2323-08","TCGA-86-8673-01A-11D-2393-08","TCGA-86-A456-01A-11D-A24D-08","TCGA-86-A4JF-01A-11D-A24P-08","TCGA-91-6830-01A-11D-1945-08","TCGA-91-6848-01A-11D-1945-08","TCGA-91-8496-01A-11D-2393-08","TCGA-91-A4BC-01A-11D-A24D-08","TCGA-93-7347-01A-11D-2184-08","TCGA-95-7948-01A-11D-2184-08","TCGA-95-8494-01A-11D-2323-08","TCGA-97-7553-01A-21D-2036-08","TCGA-97-7554-01A-11D-2036-08","TCGA-97-7938-01A-11D-2167-08","TCGA-97-A4LX-01A-11D-A24P-08","TCGA-97-A4M1-01A-11D-A24P-08","TCGA-99-8025-01A-11D-2238-08","TCGA-99-AA5R-01A-11D-A397-08","TCGA-J2-8192-01A-11D-2238-08","TCGA-J2-8194-01A-11D-2238-08","TCGA-L9-A444-01A-21D-A24D-08","TCGA-L9-A7SV-01A-11D-A397-08","TCGA-MP-A4SW-01A-21D-A24P-08","TCGA-MP-A4T9-01A-11D-A24P-08","TCGA-MP-A4TE-01A-22D-A25L-08","TCGA-MP-A4TJ-01A-51D-A25L-08","TCGA-NJ-A4YI-01A-11D-A25L-08","TCGA-NJ-A55O-01A-11D-A25L-08","TCGA-NJ-A55R-01A-11D-A25L-08","TCGA-S2-AA1A-01A-12D-A397-08"
"COSMIC_1",30.796894,0,36.319458,0,0,11.130527,0,35.893103,46.354728,0,21.480629,0.807859,22.641561,19.585461,2.610544,6.395102,18.259709,6.541048,9.34209,37.787031,43.12959,0,0,32.438839,10.562075,0,0,29.290025,17.471933,0,0,0,0,7.002253,0.316506,30.442591,43.052687,12.447762,31.471778,32.890426,9.935025,57.068393,25.335123,17.892408,44.536835,40.026431,29.425941,18.513918,0,17.499838,15.752141,31.081143,28.923524,19.850646,0,21.225793,11.78759,24.566706,22.093654,12.274476,0,0,0,23.764652,0,19.488482,31.250315,25.096631,0,0,0.97002,0,0,166.808092,0,10.057876,18.463485,0,0,22.475501,25.83117,23.97339,29.668252,0,0,29.881435,0,0,20.624433,44.354495,7.272782,0,43.836916,0.758116,49.539595,21.147948,0,0,0,3.870034
"COSMIC_2",0,0,3.274538,9.708993,0,69.135891,3.147091,1.442825,26.516104,1.480695,22.536567,0.09159,40.68117,0,0,6.34425,11.490325,11.340942,19.572746,12.929846,0.278179,153.811306,9.000726,16.99415,4.798774,58.431975,0,4.637498,56.405268,7.963113,0,96.247666,0,0,26.685291,9.583106,0,0.254717,103.336837,5.885464,22.458581,8.648593,55.371938,5.418307,87.446772,23.337169,4.06637,36.41489,2.415206,6.219855,0.820259,43.026122,31.148338,5.737544,0,66.831311,0,0,45.105129,29.855529,12.130319,0,0,21.928063,35.531561,4.199779,18.360879,52.981435,10.472292,6.312166,4.373455,20.139482,14.28891,62.698525,88.638436,29.443958,0.773897,8.318116,0.99008,67.270143,41.98738,0.440338,0,6.056388,0,5.639146,60.673386,0,0.17331,0.030536,1.522278,3.823868,4.049355,1.853731,0,0,11.315887,2.342268,3.16615,0
"COSMIC_3",0,0,0,66.700514,0,0,0,28.819886,17.139133,0,0,10.852199,0,0,0,0,27.562169,15.981612,39.237959,0,0,0,10.447124,100.247118,4.226285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.67138,53.289375,0,0,0,0,8.644469,7.183202,0,0,0,0,0,0,14.900295,28.343919,0,0,0,0,0,0,0,5.20867,0,1.351109,0,0,0,0,0,33.324757,0,0,3.921936,70.521966,1.083612,0,0,0,0,0,0,0,0,3.75697,1.161388,0,20.157187,2.311103,0,0,0,0,14.595739,6.118162,0,0,0,0
"COSMIC_4",0,484.255788,0,83.275817,262.198385,604.677036,237.232655,0,3.125809,174.302484,357.772278,0,395.121474,0,251.948025,119.586794,541.401285,0,371.710012,0,664.241754,347.478161,855.145688,255.323329,242.177371,513.325161,36.484058,253.283677,280.111812,171.961334,176.141278,138.912854,42.254911,0,132.817345,127.132298,0,0,386.806681,39.590866,27.692343,38.678207,165.738537,10.241034,295.495728,60.656243,0,0,291.717467,19.473009,7.783288,601.703923,500.570325,16.830542,30.00631,416.659385,0.951573,180.26588,270.241225,165.913913,105.906804,125.877604,1.726108,89.022461,1116.29563,5.022859,113.000673,0,523.587253,174.896593,102.127504,394.276405,272.059417,213.293756,51.628853,428.723649,0,466.027531,79.936809,0,0,14.359589,403.252224,277.236453,61.279382,0,300.765519,55.496185,0,34.361125,486.950512,1801.79855,9.312548,0,50.948488,12.349574,334.418902,110.043929,223.593529,101.859352
"COSMIC_5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COSMIC_6",8.715927,33.960083,0,25.701998,28.870178,10.821387,0,0,9.586705,0,25.574301,5.346937,0,4.797865,0,0,60.912761,28.187164,28.606319,0,18.664994,0,0,0,12.326992,73.484366,19.327589,0,12.745233,10.582255,0,22.520055,8.191447,0,17.955778,0,0,4.174984,73.52088,13.96815,6.502964,26.042011,13.557953,0.009771,32.743445,0,0,6.661897,33.249401,11.109611,28.501497,0,43.849682,19.323294,0,28.818831,0,0,39.232301,0,11.859778,4.961775,6.765567,0,88.248456,0,26.534412,5.55615,40.1519,46.588119,22.221345,20.147339,11.615441,486.766339,18.829845,0,6.904387,59.830191,14.398097,0,0,0,10.243169,22.130221,0,0,107.381725,0,2.997329,0,9.476641,50.944505,0,0,23.415427,0,43.082522,6.995129,0,0
"COSMIC_7",0,8.856128,0,11.298941,11.124519,12.521139,7.443457,0,11.727535,10.410043,2.779242,8.454944,15.27238,11.510697,1.991195,8.883678,9.46526,9.210018,18.071842,0,23.281408,11.447101,19.219974,11.627977,9.297814,23.709721,0.50066,0,21.148757,1.708896,0,31.135712,0,3.802038,3.253802,1.73245,4.510885,9.688612,55.437751,2.891619,38.301548,4.692911,0,0,0,0,3.509082,0,1.183714,0,3.727837,38.158989,0,2.733928,8.695118,62.087245,0,7.111312,24.921304,0.140011,6.773546,1.544095,1.203575,6.479187,46.543556,0,14.388313,1.891088,0,15.332249,11.375229,8.747931,28.053585,21.109672,31.751824,17.276741,0,2.457868,7.841554,8.375923,0,1.79731,31.334357,14.609908,0,0,29.249944,1.1868,9.509991,13.805732,25.18807,0,6.455456,7.084951,2.38059,0,11.116594,5.108042,11.279273,2.361041
"COSMIC_8",0,0,0,9.005329,0,0,18.877478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6323,0,0,0,7.758287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.808619,0,0,0,17.691184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.092101,0,0,0,0,0,0
"COSMIC_9",0,6.405285,0,0,0.490016,0,0,0,0,0,0,0,0,0,0,0,16.100586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.271397,0,0,0,0,0,0,0,0,0,0,0,0,1.076693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COSMIC_10",0,21.894512,1.554655,0,0,0,0.426265,12.693528,10.585735,1.534488,0,4.725833,1.842201,0,0,2.365644,0.304336,0,0,2.399276,0,0,2.644093,1.764936,0,0,0,0,0,0,0,0,0,0.851502,4.014337,0,0,1.848934,0,0.915651,0,0,0,0,13.832265,5.242332,3.608433,16.515068,1.829368,3.659187,0,6.70889,0,9.808982,4.510414,0,0.968018,0.463436,0,2.457998,0,0,0,10.530569,0,7.168523,2.823016,4.199053,0,3.588528,0,0,0,2.638637,0.124667,0,0,6.384413,0,10.872443,11.179295,0,0,0,0,0,0,0.188556,12.037782,1.404497,0,0,0,0,0,0,0,0,0,0.087697
