"Hugo_Symbol","Frame_Shift_Del","Frame_Shift_Ins","In_Frame_Del","In_Frame_Ins","Missense_Mutation","Nonsense_Mutation","Nonstop_Mutation","Splice_Site","Translation_Start_Site","total","MutatedSamples","AlteredSamples"
"TTN",0,0,0,0,452,38,0,7,0,497,75,75
"MUC16",2,1,0,0,287,12,0,3,0,305,64,64
"DNAH5",0,0,0,0,127,13,0,1,0,141,51,51
"PCLO",0,0,0,0,115,3,0,0,0,118,47,47
"CSMD1",0,0,0,0,85,7,0,1,0,93,44,44
"BRAF",0,0,0,0,51,0,0,0,0,51,43,43
"HYDIN",0,0,0,0,68,5,0,2,0,75,41,41
"GPR98",0,0,0,0,65,5,0,0,0,70,40,40
"PKHD1L1",0,0,0,0,63,4,0,0,0,67,40,40
"MGAM",0,0,0,0,48,4,0,2,0,54,38,38
"DNAH7",0,0,0,0,65,3,0,1,0,69,36,36
"FLG",0,0,0,0,66,1,0,0,0,67,36,36
"LRP1B",0,0,0,0,70,7,0,1,0,78,35,35
"CSMD3",0,0,0,0,50,7,0,2,0,59,35,35
"XIRP2",0,1,0,0,54,4,0,0,0,59,35,35
"APOB",0,0,0,0,53,4,0,1,0,58,35,35
"DSCAM",0,0,0,0,45,4,0,1,0,50,35,35
"NRAS",0,0,0,0,35,0,0,1,0,36,35,35
"RP1",0,0,0,0,60,5,0,0,0,65,34,34
"ANK3",0,0,0,0,60,3,0,1,0,64,34,34
"CSMD2",0,0,0,0,55,5,0,1,0,61,34,34
"DNAH8",0,0,0,0,53,3,0,1,0,57,34,34
"DNAH9",0,0,0,0,56,5,0,1,0,62,33,33
"FAM135B",0,0,0,0,48,1,0,0,0,49,33,33
"SCN11A",0,0,0,0,42,2,0,1,0,45,33,33
"GPR112",0,0,0,0,44,0,0,0,0,44,32,32
"FAT3",0,0,0,0,37,4,0,2,0,43,32,32
"OBSCN",3,0,0,0,43,3,0,1,0,50,31,31
"MXRA5",0,0,0,0,44,5,0,0,0,49,31,31
"DNAH10",0,0,0,0,36,5,0,0,0,41,31,31
"MUC17",0,0,0,0,57,0,0,0,0,57,30,30
"SYNE1",0,1,0,0,46,5,0,2,0,54,30,30
"FAT4",0,0,0,0,44,6,0,0,0,50,30,30
"SPHKAP",0,0,0,0,49,4,0,0,1,54,29,29
"PAPPA2",0,0,0,0,46,5,0,2,0,53,29,29
"THSD7B",0,0,0,0,44,5,0,0,0,49,29,29
"NEB",1,0,0,0,41,4,0,1,0,47,29,29
"SCN10A",0,0,0,0,35,2,0,1,1,39,29,29
"DNAH3",0,0,0,0,38,4,0,0,0,42,28,28
"LRP2",0,0,0,0,36,5,0,1,0,42,28,28
"TENM3",0,0,0,0,36,5,0,1,0,42,28,28
"USH2A",0,0,0,0,40,1,0,1,0,42,28,28
"MYH2",0,0,0,0,37,1,0,3,0,41,28,28
"ZNF831",0,0,0,0,35,3,0,0,0,38,28,28
"GRIN2A",0,0,0,0,35,0,0,1,0,36,28,28
"RYR2",0,0,0,0,33,2,0,1,0,36,28,28
"RYR3",0,0,0,0,34,6,0,3,0,43,27,27
"PCDH15",0,0,0,0,37,1,0,0,0,38,27,27
"RYR1",0,0,0,0,33,5,0,0,0,38,27,27
"CACNA1E",0,0,0,0,34,1,0,2,0,37,27,27
"NPAP1",0,0,0,0,42,2,0,0,0,44,26,26
"DCC",0,0,0,0,32,6,0,1,0,39,26,26
"PRUNE2",0,0,0,0,36,2,0,0,0,38,26,26
"FLG2",0,0,0,0,36,1,0,0,0,37,26,26
"PTPRT",0,0,0,0,33,1,0,0,0,34,26,26
"PCDH18",0,0,0,0,29,4,0,0,0,33,26,26
"SI",0,0,0,0,36,1,0,1,0,38,25,25
"DNAH2",0,0,0,0,26,3,0,1,0,30,25,25
"ANKRD30A",0,0,0,0,37,3,0,1,0,41,24,24
"MAGEC1",0,0,0,0,35,4,0,0,0,39,24,24
"TACC2",0,0,0,0,36,2,0,1,0,39,24,24
"CD163",0,0,0,0,33,0,0,0,0,33,24,24
"RGPD4",0,0,0,0,28,5,0,0,0,33,24,24
"RP1L1",0,0,0,0,30,3,0,0,0,33,24,24
"DOCK3",1,0,0,0,27,1,0,3,0,32,24,24
"ABCA13",0,0,0,0,29,2,0,0,0,31,24,24
"CD163L1",0,0,0,0,24,3,0,2,0,29,24,24
"COL6A3",0,0,0,0,26,1,0,2,0,29,24,24
"C6",0,0,0,0,26,2,0,0,0,28,24,24
"FCGBP",0,2,0,0,32,3,0,1,0,38,23,23
"MYO18B",1,0,0,0,35,1,0,0,0,37,23,23
"COL4A4",0,0,0,0,35,0,0,1,0,36,23,23
"ZFHX4",0,0,0,0,34,2,0,0,0,36,23,23
"SPTA1",0,0,0,0,30,3,0,1,0,34,23,23
"TLL1",0,0,0,0,32,2,0,0,0,34,23,23
