"","TCGA-3N-A9WD-06A-11D-A38G-08","TCGA-BF-A1PV-01A-11D-A19A-08","TCGA-BF-A1PX-01A-12D-A19A-08","TCGA-BF-A1Q0-01A-21D-A19A-08","TCGA-BF-A3DN-01A-11D-A20D-08","TCGA-BF-A5ER-01A-12D-A27K-08","TCGA-BF-AAP0-06A-11D-A397-08","TCGA-BF-AAP2-01A-11D-A401-08","TCGA-BF-AAP8-01A-11D-A401-08","TCGA-D3-A1Q5-06A-11D-A196-08","TCGA-D3-A1Q7-06A-11D-A19A-08","TCGA-D3-A2J7-06A-11D-A196-08","TCGA-D3-A2JD-06A-11D-A19A-08","TCGA-D3-A2JE-06A-11D-A372-08","TCGA-D3-A2JH-06A-11D-A196-08","TCGA-D3-A3CF-06A-11D-A196-08","TCGA-D3-A3ML-06A-11D-A21A-08","TCGA-D3-A3MO-06A-11D-A21A-08","TCGA-D3-A51E-06A-11D-A25O-08","TCGA-D3-A51G-06A-11D-A25O-08","TCGA-D3-A51K-06A-11D-A25O-08","TCGA-D3-A51N-06A-11D-A25O-08","TCGA-D3-A5GL-06A-11D-A27K-08","TCGA-D3-A5GR-06A-11D-A27K-08","TCGA-D3-A5GS-06A-11D-A27K-08","TCGA-D3-A8GD-06A-11D-A372-08","TCGA-D3-A8GE-06A-11D-A372-08","TCGA-D3-A8GK-06A-11D-A372-08","TCGA-D3-A8GQ-06A-11D-A372-08","TCGA-D9-A149-06A-11D-A196-08","TCGA-D9-A6EG-06A-12D-A32N-08","TCGA-DA-A1I8-06A-11D-A197-08","TCGA-DA-A1IB-06A-11D-A196-08","TCGA-DA-A95V-06A-11D-A372-08","TCGA-EB-A1NK-01A-11D-A196-08","TCGA-EB-A24D-01A-11D-A197-08","TCGA-EB-A299-01A-21D-A197-08","TCGA-EB-A44Q-06A-11D-A25O-08","TCGA-EB-A4OZ-01A-12D-A25O-08","TCGA-EB-A51B-01A-11D-A27K-08","TCGA-EB-A57M-01A-51D-A30X-08","TCGA-EB-A5SF-01A-11D-A30X-08","TCGA-EB-A5UN-06A-11D-A30X-08","TCGA-EB-A5VU-01A-21D-A32N-08","TCGA-EB-A6L9-06A-11D-A32N-08","TCGA-EE-A180-06A-11D-A21A-08","TCGA-EE-A185-06A-11D-A196-08","TCGA-EE-A20B-06A-11D-A196-08","TCGA-EE-A20C-06A-11D-A196-08","TCGA-EE-A29C-06A-21D-A197-08","TCGA-EE-A29D-06A-11D-A197-08","TCGA-EE-A29M-06A-11D-A196-08","TCGA-EE-A29R-06A-11D-A197-08","TCGA-EE-A2GD-06A-11D-A196-08","TCGA-EE-A2GI-06A-11D-A196-08","TCGA-EE-A2GS-06A-12D-A197-08","TCGA-EE-A2M5-06A-12D-A197-08","TCGA-EE-A2M6-06A-12D-A197-08","TCGA-EE-A2MJ-06A-11D-A197-08","TCGA-EE-A2MN-06A-11D-A197-08","TCGA-EE-A2MS-06A-11D-A197-08","TCGA-EE-A2MU-06A-21D-A196-08","TCGA-EE-A3JA-06A-11D-A20D-08","TCGA-EE-A3JI-06A-11D-A21A-08","TCGA-ER-A195-06A-11D-A196-08","TCGA-ER-A19E-06A-11D-A197-08","TCGA-ER-A19J-06A-11D-A196-08","TCGA-ER-A19K-01A-21D-A197-08","TCGA-ER-A19L-06A-12D-A197-08","TCGA-ER-A19N-06A-11D-A197-08","TCGA-ER-A1A1-06A-11D-A197-08","TCGA-ER-A2NE-06A-21D-A196-08","TCGA-FR-A44A-06A-11D-A24R-08","TCGA-FR-A69P-06A-21D-A30X-08","TCGA-FR-A7U8-06A-21D-A34U-08","TCGA-FS-A1YW-06A-11D-A197-08","TCGA-FS-A1YX-06A-11D-A197-08","TCGA-FS-A1ZC-06A-11D-A197-08","TCGA-FS-A1ZH-06A-11D-A197-08","TCGA-FS-A1ZN-01A-11D-A197-08","TCGA-FS-A1ZQ-06A-11D-A197-08","TCGA-FS-A1ZU-06A-12D-A196-08","TCGA-FS-A1ZY-06A-11D-A197-08","TCGA-FS-A4F5-06A-11D-A25O-08","TCGA-GF-A6C9-06A-11D-A30X-08","TCGA-GN-A264-06A-11D-A196-08","TCGA-GN-A266-06A-11D-A197-08","TCGA-GN-A269-01A-11D-A19A-08","TCGA-GN-A4U3-06A-11D-A32N-08","TCGA-GN-A4U7-06A-21D-A32N-08","TCGA-GN-A8LN-01A-11D-A372-08","TCGA-IH-A3EA-01A-11D-A20D-08","TCGA-QB-AA9O-06A-11D-A397-08","TCGA-W3-A824-06A-21D-A34U-08","TCGA-W3-A825-06A-11D-A34U-08","TCGA-W3-A828-06A-11D-A34U-08","TCGA-WE-A8ZQ-06A-41D-A372-08","TCGA-WE-A8ZY-06A-11D-A372-08","TCGA-XV-AAZV-01A-11D-A401-08","TCGA-XV-AAZW-01A-12D-A401-08"
"COSMIC_1",52.109636,16.589984,0,0,0,22.858561,31.428934,0,4.43659,17.179658,8.748002,12.143231,0,36.126783,24.80084,0,64.689649,16.966855,35.701209,113.599783,0,11.395786,47.123135,14.052685,0.339427,26.959148,0,19.184255,31.077407,0,14.88559,8.878002,0,34.3827,0,0,0,13.959824,0,31.084848,19.634066,2.375752,66.28944,16.571206,17.823594,73.842924,18.854728,5.96881,68.086481,38.929826,135.543621,59.215717,36.897678,27.709537,0,30.748878,26.255661,0,67.789509,0,101.093661,37.708774,34.933813,72.668522,0,0,32.844587,0,0,0,0,0,38.268616,20.032275,25.9795,19.803183,0,0,0,0,0,0,0,24.487773,103.753297,0,218.275747,2.355413,17.679972,14.294752,28.881559,25.65501,137.77655,259.782946,88.865679,14.195923,13.266706,23.669657,21.127741,23.840535
"COSMIC_2",0,0,0,0,3.29429,0,0,0,0,0,0,0,0,0,0,0,16.650438,1.792967,0,0,0,4.631599,0,0,0,2.474227,0,0,112.834589,0,4.214527,5.955134,0,1.921223,0,0,0,0,0,0,6.539954,10.510323,0,0,0,0,0.362233,0,0,0,0,0,0,0,0,0,0,0,0,2.592699,0,1.361936,0,0,0,0,0,0,0,0,0,8.644183,0,0,0,0.284263,0,0,0.633614,0,0,0,0,0,36.274505,0.206824,170.486313,0,0,11.822691,0,0,0,0,4.343642,0,0,0,0,0.832839
"COSMIC_3",1.277195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.872448,7.132205,10.664211,0,17.585317,3.962154,1.808566,0,0,22.318609,0,0,1.425367,0,0,0,9.292436,0,0,5.003887,3.401723,5.483976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.544744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.982187,0,0,0,12.106114,0.616669,0,10.062626
"COSMIC_4",0,0,370.384115,1039.596507,0,0,0,0,0,16.192897,0,80.014301,576.064155,0,201.776158,81.9327,0,0,2.529537,0,1.865437,0.518107,0,3.989091,0,6.943562,0,7.75055,0,536.027585,0,3.930866,669.005086,19.857799,227.423918,318.624521,411.919887,2.683248,3.142675,16.109621,0,0,21.795434,16.638779,0,0,41.106722,52.034426,630.199237,0,0,0,1.196572,0,470.790752,22.161085,625.060374,216.444647,49.796864,189.358766,225.042304,0,0,57.13297,369.984114,268.307787,0,58.390197,20.787532,631.74005,544.509631,63.643772,20.683721,0,0,20.237274,49.551065,201.661934,37.524341,416.013927,426.705266,134.036247,115.015939,0,0,104.857659,0,0,0,1.082523,0,0,0,0,0,116.26564,3.282619,18.273447,0,4.577786
"COSMIC_5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.315774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COSMIC_6",8.629895,0,0,0,0,0,0,0,0,0,0,0,0,0,0.746955,0,0,0,0,0,0,0,0,7.220933,0,0,0,0,0,0,7.177545,0,0,5.876115,0,0,0,0,0,3.295753,0,0,0,8.440219,2.794843,0,0,0,0,0,0,0,0,0,0,0,0,15.992959,0,0,0,0,0,0,0,9.765959,0,12.753413,0,0,0,0,7.102178,0,0,15.431786,4.469315,0,9.874583,0,0,0,0,0,0,0,0,0,0,0,0,26.384088,0,0,0,0,30.281264,0,0.899962,4.414408
"COSMIC_7",1127.86398,350.908933,324.110069,231.259872,72.478886,195.737752,511.262187,1668.988474,0,394.526376,102.965374,398.792255,276.451942,375.766497,632.261291,0,1127.128362,33.974679,252.187279,1254.031346,1.028219,45.070984,380.778639,274.88646,488.991488,49.156976,0,675.944898,1768.477221,118.27539,36.468983,142.020226,0,235.298959,101.809665,614.502161,63.044418,14.219082,1.391652,439.908315,0,5.45022,686.777064,11.280022,0.472937,561.211516,198.0152,190.979961,2085.673196,420.071762,4630.325066,3025.075286,807.654358,656.487877,1794.713072,370.477999,1988.058857,599.632683,2472.772654,120.633339,3276.009868,762.334876,1380.520355,1049.509759,200.534232,409.079557,254.946861,474.090304,54.239223,391.113725,0,114.87591,300.565003,243.041332,0.364542,176.474591,4.543422,821.975007,5.002388,0,460.439304,0,0,914.380053,3563.265885,0,4753.586173,841.402222,345.734724,213.076617,292.333423,1929.811236,1653.191158,1596.127601,1357.661263,1145.627815,149.497178,264.893345,135.913878,139.971487
"COSMIC_8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.971027,0,0,0,0,0,0,0,0,0,0,0,0,3.397023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COSMIC_9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.971117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.02613,0,0,0
"COSMIC_10",10.279461,23.258238,0,0,6.157289,12.616412,42.444583,34.58526,0,14.088184,4.866029,8.932417,0,5.421469,29.852231,0,43.197403,0,23.342017,97.447608,0,3.42522,15.417505,0.228853,0,4.474338,0,0,77.610784,0,0,0,0,0,0,0,0,0,0.457353,0,0,2.141256,23.937511,0,1.089348,34.69518,1.331732,0,148.565242,28.223654,123.432107,57.444528,28.644202,21.01754,25.273256,3.919985,94.704966,0,142.465654,0,105.365944,33.124756,27.545833,6.553967,0,26.192854,9.342384,0,0,0,0,0,2.580199,19.554146,0,6.660197,0,22.090304,2.691159,0,0,0,0,60.350878,166.706313,0,225.780511,21.924926,25.187628,1.499473,25.532522,12.618481,92.413561,18.94833,76.374384,0,0,5.273153,1.058419,10.452427
